,Group,Player,Time,Order,Round,Date,Role,Round.num,Phase,Condition,First,Message,f,p,v,Before.After,playerA.wordcount,playerB.wordcount,playerA.numutterances,playerB.numutterances,playerA.wordsperutterance,playerB.wordsperutterance,Adjacency_pairs,Gender,Age,Education,ProlificPenn
9354,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:54:05,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,blufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9355,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:54:05,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,wowofs,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9356,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:04:32,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9357,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:54:05,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,sefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9358,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:55:06,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,wowofs,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9359,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:55:06,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9360,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:55:06,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,nefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9361,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:55:06,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,yufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9362,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:13:52,B,Round6,4/3/2019,guesser,6,1,unmatched,unmatched,blufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9363,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:14:25,B,Round6,4/3/2019,guesser,6,1,unmatched,unmatched,sefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
